festival_name,place,start,end,content,jugwan,tel,content_info,homepage,zip_no,latitude,logitude,sido,sigungu,doro,eupmyun,sangse
춘천마임축제 봄시즌,춘천시내 다수지역,2021-05-23,2021-05-29,2021년 우리의 잃어버린 봄을 찾기위한 무언의 몸짓으로 시민과 예술가의 봄을 찾는 공연,(사)춘천마임축제,033-242-0585,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7642&search_type=1&search_keyword=ECB698ECB29CEBA788EC9E84ECB695ECA09C+EBB484EC8B9CECA68C,전시관람,24336,37.8704329,127.7377902,강원특별자치도,춘천시,춘천로 112 (효자동),효자동,"531, 축제극장몸짓"
춘천인형극제 코코바우 놀이터 자연아 놀러와,춘천인형극장,2021-04-24,2021-07-24,"자연의 흐름을 주제로 모두 함께 인형극, 만들기를 즐기며 자연을 느낄 수 있다.",춘천인형극제,033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7629&search_type=1&search_keyword=ECB698ECB29CEC9DB8ED9895EAB7B9ECA09C5D+ECBD94ECBD94EBB094EC9AB0+EB8680EC9DB4ED84B0+3A+EC9E90EC97B0EC9584+EB8680EB9FACEC998021,전시관람,24235,37.8799325,127.7343933,강원특별자치도,춘천시,영서로 3017 (사농동),사농동,"277-3, 춘천인형극장"
춘천마임축제 걷다 보는 마임,효자교~공지교,2021-04-21,2021-06-23,"일시적, 일회적 축제방식이 아닌, 소소하더라도 시민들과 깊이 있는 교감을 이뤄낼 수 있는 다양하고 지속적인 콘텐츠로 웃음을 선사하는 축제이다.",춘천마임축제,033-242-0582,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7627&search_type=1&search_keyword=ECB698ECB29CEBA788EC9E84ECB695ECA09C5D+EAB1B7EB8BA4+EBB3B4EB8A94+EBA788EC9E84,행사축제,24336,37.9148987,127.7227653,강원특별자치도,춘천시,춘천로 112 (효자동),효자동,"531, 축제극장몸짓"
춘천마임축제 대학로 문화의 거리,강원대학교 후문거리 일대,2021-04-26,2021-05-08,"거리의 공간을 이용한 축제로, 거리전시와 중고장터, 데일리 체험프로그램을 진행한다.",춘천마임축제,033-242-0582,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7626&search_type=1&search_keyword=ECB698ECB29CEBA788EC9E84ECB695ECA09C5D+EB8C80ED9599EBA19C+EBACB8ED9994EC9D98+EAB1B0EBA6AC,행사축제,24336,37.8640048,127.723833,강원특별자치도,춘천시,춘천로 112 (효자동),효자동,"531, 축제극장몸짓"
제33회 춘천인형극제 국내 참가작 공모,춘천인형극장 및 춘천시 일대,2021-02-22,2021-03-21,1989년 9월 처음 개최하여 33회를 맞이하는 아시아 최대 인형극축제 춘천인형극제이다.,춘천인형극제,033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7617&search_type=1&search_keyword=ECA09C33ED9A8C+ECB698ECB29CEC9DB8ED9895EAB7B9ECA09C+EAB5ADEB82B4+ECB0B8EAB080EC9E91+EAB3B5EBAAA8,행사축제,24235,37.8848521,127.7330675,강원특별자치도,춘천시,영서로 3017 (사농동),사농동,"277-3, 춘천인형극장"
2020 역발상전,문화공간역,2022-03-04,2022-03-24,"춘천 외 활동작가 5인 춘천 활동작가 5인이 참여하는 전시이다. 2021역발상전은 서울, 경기권을 기반으로 작업하는 작가들이 함께 참여 하였고 2022 역발상전은 충청도권을 기반으로 작업하는 작가들이 함께 참여한다. 역발상전 교류 초대 작가는 대한민국의 국공립미술관 초대작가로 활동하는 인지도 높은 작가들이 대상이며 대한민국의 미술의 위상을 춘천에 소개하고 춘천 활동 작가들의 춘천외부 활동의 기회를 마련하는 것에 일조하기 위해 기획된 전시이다. 춘천 외 활동작가 5인 춘천 활동작가 5인이 참여하는 전시이다. 2021역발상전은 서울, 경기권을 기반으로 작업하는 작가들이 함께 참여 하였고 2022 역발상전은 충청도권을 기반으로 작업하는 작가들이 함께 참여한다. 역발상전 교류 초대 작가는 대한민국의 국공립미술관 초대작가로 활동하는 인지도 높은 작가들이 대상이며 대한민국의 미술의 위상을 춘천에 소개하고 춘천 활동 작가들의 춘천외부 활동의 기회를 마련하는 것에 일조하기 위해 기획된 전시이다.",(사)민족미술인협회 춘천지부,033-252-0731,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10233&search_type=1&search_keyword=2020+EC97ADEBB09CEC8381ECA084,전시관람,24368,37.8724395,127.729498,강원특별자치도,춘천시,영서로 2260 (퇴계동),퇴계동,"633-2, 남춘천역"
만나고 싶었습니다 - 창작의 자극 그리고 예술로 환기,공간공일갤러리,2022-03-04,2022-03-16,"작가들은 각자 그동안 사회적 거리두기 상황으로 예술적 자극의 기회를 갖지 못했거나 자발적 절제로 동기부여의 활동을 할 수 없었다면 위드코로나로 전환된 지금 그 동기와 자극을 찾을 수 있는 방법을 제시하고자 한다. 언젠가는 만나 이야기하고 싶었던 동경의 대상, 작가를 만나거나, 꼭 한번 가보고 싶었던 미술관 혹은 어떤 전시 등을 가보거나, 경험하고 싶었던 나름의 활동을 경험해보거나 등등을 실현에 옮긴 후 그러한 시간과 행위와 경험에서 받은 영감이나 자극, 창의적 동기를 담아 새로운 창작물을 구상한다. 작가는 기존의 작업 스타일에서 벗어나는 방법으로 창작의 장르를, 방법을, 전시구성 등등 기존의 스타일에서 잠시 이탈해본다. 그렇게 제작된 작품을 공간공일 전시장에서 3월 4일부터 3월 16일까지 전시하게 된다. 또한 작가와의 대화 시간을 통해 관객과 소통하고 창의적 동기를 전달할 계획이다. 그렇게 관객은 전시된 작품과 소통의 시간으로 잠시나마 일상에서 닫힌 창을 열고 예술로 환기할 수 있는 기회를 가진다.",예술밭사이로+춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10234&search_type=1&search_keyword=EBA78CEB8298EAB3A0+EC8BB6EC9788EC8AB5EB8B88EB8BA4,전시관람,24261,37.9148987,127.7227653,강원특별자치도,춘천시,향교앞길 13-4 (교동),교동,140
공공미술렌탈프로젝트 춘천예술공감공공청사 미술 전시展,춘천시청 3~8층+춘천시의회 로비+춘천시립도서관 2층,2022-05-16,2022-12-16,춘천예술공감이라는 테마로 지역작가 작품 중 춘천의 이미지를 담은 작품을 44인의 작가에게 임대하여 전시한다,사회적협동조합 예술공감,,https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=EAB3B5EAB3B5EBAFB8EC88A0EBA08CED8388ED9484EBA19CECA09DED8AB8+ECB698ECB29CEC9888EC88A0EAB3B5EAB09028EAB3B5EAB3B5ECB2ADEC82AC+EBAFB8EC88A0+ECA084EC8B9C29E5B195,전시관람,24347,37.8704329,127.7377902,강원특별자치도,춘천시,시청길 11 (옥천동),옥천동,"111-1, 춘천시청"
제18회 강원아트페어 춘천전 자연에서 다시 태어나는 예술,춘천문화예술회관,2022-05-24,2022-05-29,아트페어는 자연에서 다시 태어나는 예술 이라는 주제로 전국 각지에서 참여하시는 18명의 다양한 작가님들의 참여로 진행,(사)한국미술협회 춘천지부,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=ECA09C18ED9A8C+EAB095EC9B90EC9584ED8AB8ED8E98EC96B4+ECB698ECB29CECA084+5BEC9E90EC97B0EC9790EC849C+EB8BA4EC8B9C+ED839CEC96B4EB8298EB8A94+EC9888EC88A05D,전시관람,24336,37.8545566,127.7582354,강원특별자치도,춘천시,효자상길5번길 13 (효자동),효자동,"산40-12, 춘천문화예술회관"
안성환 무심 無心 -쉬어 가다,개나리미술관,2022-05-24,2022-06-05,개나리미술관에서는 5월 24일부터 6월 5일까지 안성환작가의 조각전을 개최,안성환,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10455,전시관람,24399,37.8644666,127.7353229,강원특별자치도,춘천시,동내면 거두택지길44번길 7-19,동내면,"거두리, 1123-6"
